ADDRESS,          DATA,     BUSACK, HALT, REFSH, M1, IORQ, MREQ, WR, RD,
1000000000000000, 10000000, 1,	    1,	  1,	 1,  0,	   1,	 1,  1,
0100000000000000, 01000000, 1,	    1,	  1, 	 0,  1,	   1,	 1,  1,
0010000000000000, 00100000, 1,	    1,	  0,	 1,  0,	   0,	 1,  1,
0001000000000000, 00010000, 1,	    1,	  0, 	 0,  1,	   0,	 1,  1,
0000100000000000, 00001000, 1,	    0,	  1,	 1,  0,	   1,	 0,  1,
0000010000000000, 00000100, 1,	    0,	  1, 	 0,  1,	   1,	 0,  1,
0000001000000000, 00000010, 1,	    0,	  0,	 1,  0,	   0,	 0,  1,
0000000100000000, 00000001, 1,	    0,	  0, 	 0,  1,	   0,	 0,  1,
0000000010000000, 10000000, 0,	    1,	  1,	 1,  0,	   1,	 1,  0,
0000000001000000, 01000000, 0,	    1,	  1, 	 0,  1,	   1,	 1,  0,
0000000000100000, 00100000, 0,	    1,	  0,	 1,  0,	   0,	 1,  0,
0000000000010000, 00010000, 0,	    1,	  0, 	 0,  1,	   0,	 1,  0,
0000000000001000, 00001000, 0,	    0,	  1,	 1,  0,	   1,	 0,  0,
0000000000000100, 00000100, 0,	    0,	  1, 	 0,  1,	   1,	 0,  0,
0000000000000010, 00000010, 0,	    0,	  0,	 1,  0,	   0,	 0,  0,
0000000000000001, 00000001, 0,	    0,	  0, 	 0,  1,	   0,	 0,  0,
